path_id,user_id,path,n_touches,converted
159,28039,organic > retarget,2,1
160,28907,ctx_brand > cpa > influencer > ctx_brand > retarget,5,1
161,1347,organic > retarget,2,1
162,35215,social > ctx_brand > ctx_category > retarget > cpa > retarget,6,1
163,12167,cpa > ctx_category > retarget,3,1
164,5388,influencer > retarget > retarget,3,1
165,7954,ctx_category > ctx_category > ctx_brand > social > social > retarget,6,1
166,6681,cpa > ctx_category > cpa > social > retarget,5,1
167,25730,ctx_category > retarget > retarget,3,1
168,24706,retarget > retarget,2,1
169,4328,ctx_brand > retarget,2,1
170,6683,ctx_category > cpa > ctx_brand > cpa > retarget,5,1
171,19989,retarget > ctx_category > ctx_brand > retarget,4,1
172,16336,influencer > cpa > influencer,3,1
173,18224,retarget > ctx_brand,2,1
174,28574,ctx_category > retarget > influencer > ctx_category > retarget,5,1
175,27032,social > social > retarget,3,1
176,32135,influencer > cpa > ctx_brand > influencer > ctx_category > retarget,6,1
177,17457,ctx_brand > retarget,2,1
178,22362,ctx_category > cpa > retarget,3,1
179,28793,retarget > retarget > influencer > ctx_category > retarget,5,1
180,23150,ctx_category > social > retarget,3,1
181,13102,influencer > cpa > retarget > retarget,4,1
182,17691,ctx_category > retarget,2,1
183,13073,ctx_category,1,1
184,15929,influencer > cpa > ctx_category > ctx_category > ctx_category > ctx_brand > retarget,7,1
185,36608,influencer > ctx_category > influencer > ctx_brand > cpa > retarget > retarget,7,1
186,559,retarget > retarget,2,1
187,13924,influencer > ctx_category > ctx_brand > ctx_category > ctx_category > retarget,6,1
188,37432,social > ctx_brand > retarget > retarget,4,1
189,2077,influencer > ctx_brand > retarget,3,1
190,34585,influencer > retarget,2,1
191,19281,ctx_brand > influencer > retarget > influencer,4,1
192,34158,influencer > retarget > retarget,3,1
193,13369,retarget > cpa > influencer > retarget,4,1
194,15781,influencer > cpa > influencer > retarget,4,1
195,24783,influencer > retarget > retarget > social,4,1
196,13699,ctx_category > retarget,2,1
197,23526,influencer > cpa > retarget > retarget,4,1
198,32342,ctx_category > retarget > influencer > retarget,4,1
199,30566,influencer > influencer > ctx_brand > ctx_category > retarget,5,1
200,15516,organic > retarget,2,1
201,35103,ctx_category > ctx_category > retarget,3,1
202,17630,organic > retarget,2,1
203,11643,influencer > influencer > cpa > retarget > retarget > retarget,6,1
204,27779,organic,1,1
205,23616,organic > retarget,2,1
206,28792,influencer > ctx_brand > ctx_category > retarget > ctx_category > retarget,6,1
207,14195,retarget > retarget > cpa > cpa > influencer > retarget,6,1
208,24848,ctx_brand > social > retarget,3,1
209,37053,retarget > cpa > ctx_category > retarget > retarget,5,1
210,13606,retarget > retarget,2,1
211,24104,influencer > ctx_category > retarget,3,1
212,7419,influencer > ctx_category > ctx_category > influencer > retarget,5,1
213,19981,influencer > organic,2,1
214,4706,cpa > ctx_brand > influencer > retarget,4,1
215,1913,social > ctx_category > retarget > cpa,4,1
216,39791,influencer > cpa > social,3,1
217,20622,ctx_brand > social > retarget > retarget,4,1
218,24155,ctx_brand > ctx_category > retarget > social > retarget,5,1
219,15241,ctx_category > retarget,2,1
220,6402,retarget > influencer,2,1
221,8584,influencer > ctx_brand > ctx_category > social > retarget > cpa > retarget,7,1
222,11151,organic > retarget,2,1
223,17698,influencer > social > retarget > social > retarget,5,1
224,30402,ctx_category > ctx_category > ctx_brand > retarget,4,1
225,19677,ctx_brand > retarget > ctx_category > ctx_brand > social > retarget,6,1
226,5971,ctx_brand > ctx_brand > cpa > cpa > retarget > influencer > retarget,7,1
227,12296,influencer > retarget > retarget,3,1
228,31446,ctx_category > retarget,2,1
229,1127,influencer > retarget > cpa > retarget,4,1
230,15841,influencer > social > influencer > retarget > retarget,5,1
231,13863,influencer > retarget > retarget > cpa > retarget,5,1
232,27153,influencer > cpa > retarget > cpa > retarget,5,1
233,2145,influencer > social > ctx_category > retarget,4,1
234,28086,organic > retarget,2,1
235,7333,retarget > retarget > ctx_brand > ctx_category > retarget,5,1
236,15603,influencer > retarget > influencer > ctx_brand > cpa > retarget,6,1
237,4846,ctx_category > retarget > ctx_category > retarget,4,1
238,31182,social > ctx_brand > cpa > ctx_brand > retarget,5,1
239,16280,social > social > ctx_category > retarget,4,1
240,35095,influencer > social > ctx_category > social > ctx_brand > influencer > ctx_category > retarget,8,1
241,19298,influencer > ctx_category > cpa,3,1
242,1680,influencer > retarget > social > ctx_category > retarget,5,1
243,29345,ctx_category > cpa > social > cpa > retarget,5,1
244,16738,social > ctx_brand > ctx_category > retarget,4,1
245,1985,social > retarget > ctx_brand > retarget > retarget,5,1
246,29867,social > cpa > influencer > influencer > retarget,5,1
247,19763,influencer > ctx_brand > ctx_category > cpa > ctx_category > retarget,6,1
248,38778,retarget > retarget,2,1
249,13804,ctx_category > cpa > retarget,3,1
250,9716,ctx_category > retarget > influencer > retarget,4,1
251,36320,ctx_brand > ctx_category > retarget > ctx_category > retarget,5,1
252,37161,influencer > organic > retarget,3,1
253,31276,social > retarget,2,1
254,25136,influencer > retarget,2,1
255,15402,cpa > retarget,2,1
256,3522,ctx_category > ctx_category > ctx_category,3,1
257,29304,ctx_brand > ctx_category > retarget,3,1
258,16,ctx_category > retarget,2,1
259,10352,influencer > retarget > ctx_brand > retarget,4,1
260,28969,social,1,1
261,26164,influencer > influencer > retarget,3,1
262,36734,influencer > organic > retarget,3,1
263,15864,cpa > influencer > retarget > influencer > retarget,5,1
264,5678,ctx_category > social > ctx_brand,3,1
265,29054,ctx_category > ctx_category > retarget > retarget > ctx_category > retarget,6,1
266,20300,retarget > cpa > ctx_brand > retarget,4,1
267,30193,influencer > ctx_brand > retarget > ctx_brand > retarget > retarget,6,1
268,34615,ctx_category > retarget > ctx_brand > retarget,4,1
269,28573,retarget > ctx_category > ctx_category > ctx_category > retarget,5,1
270,21394,influencer > ctx_brand > ctx_category > influencer > retarget,5,1
271,36098,influencer > influencer > retarget,3,1
272,39141,influencer > retarget > retarget,3,1
273,26149,ctx_brand > retarget > retarget,3,1
274,39777,cpa > social > ctx_category > retarget,4,1
275,21416,ctx_category > social > ctx_brand > retarget,4,1
276,27240,ctx_category > influencer > ctx_brand,3,1
277,8645,retarget > cpa > influencer > social > influencer > retarget,6,1
278,3591,influencer > social > retarget,3,1
279,14899,organic > retarget,2,1
280,12896,influencer > ctx_category > ctx_category > ctx_category > cpa > cpa > retarget,7,1
281,8535,ctx_category > retarget,2,1
282,12587,influencer > organic,2,1
283,7684,influencer > ctx_category > retarget > retarget,4,1
284,13602,cpa > retarget > retarget > retarget,4,1
285,8150,influencer > ctx_brand > cpa > influencer > social > ctx_category > retarget,7,1
286,21588,influencer > social > ctx_category > retarget,4,1
287,19904,influencer > ctx_brand > cpa > cpa > influencer > retarget,6,1
288,1769,ctx_brand > cpa > retarget > retarget,4,1
289,24621,ctx_category > ctx_category > ctx_category > cpa > retarget,5,1
290,15751,cpa > social > retarget,3,1
291,3649,cpa > cpa > retarget,3,1
292,31667,retarget > retarget > retarget,3,1
293,8022,influencer > influencer > retarget > retarget,4,1
294,22644,ctx_brand > retarget,2,1
295,31126,influencer > cpa > cpa > retarget,4,1
296,14788,social > influencer > retarget,3,1
297,4182,influencer > ctx_category > retarget,3,1
298,37522,influencer > ctx_brand > cpa > retarget,4,1
299,1825,organic > retarget,2,1
300,32189,organic > retarget,2,1
301,21118,influencer > influencer > retarget,3,1
302,16422,organic,1,1
303,16153,ctx_category > social > retarget,3,1
304,35471,influencer > cpa > retarget,3,1
305,18886,social > ctx_category,2,1
306,9471,influencer > retarget > retarget,3,1
307,3138,retarget,1,1
308,14560,cpa > retarget,2,1
309,28799,influencer > ctx_category > ctx_category > cpa > ctx_brand > retarget,6,1
310,29363,ctx_brand > influencer > ctx_brand > influencer > retarget,5,1
311,24305,influencer > ctx_brand > retarget > retarget,4,1
312,29483,influencer > retarget > retarget,3,1
313,30356,influencer > retarget > retarget,3,1
314,16055,organic > retarget,2,1
315,30033,organic,1,1
316,33648,influencer > ctx_category > ctx_category > ctx_category > ctx_category > cpa > retarget,7,1
317,23152,cpa > social > cpa,3,1
318,25485,influencer > ctx_brand > ctx_brand > retarget,4,1
319,545,retarget > ctx_brand > ctx_category > influencer > retarget,5,1
320,15675,influencer > ctx_category > influencer > retarget > retarget,5,1
321,12257,ctx_brand > retarget,2,1
322,395,cpa > cpa > ctx_category > retarget,4,1
323,37847,influencer > ctx_brand > ctx_category > retarget,4,1
324,2791,ctx_brand > retarget,2,1
325,1155,influencer > ctx_brand > influencer > retarget,4,1
326,15291,cpa > ctx_brand > ctx_category > influencer > retarget,5,1
327,8123,influencer > ctx_brand > retarget > retarget,4,1
328,26183,ctx_brand > retarget,2,1
329,34970,influencer > retarget > ctx_category > ctx_brand > social > influencer > ctx_brand > retarget,8,1
330,18236,cpa > ctx_brand > retarget,3,1
331,36201,ctx_category > ctx_brand > ctx_category > retarget,4,1
332,1376,influencer > social > ctx_brand > retarget > influencer > social > retarget,7,1
333,34709,ctx_category > retarget,2,1
334,497,cpa > ctx_brand > ctx_brand > retarget,4,1
335,29176,influencer > ctx_category > ctx_brand > retarget,4,1
336,10822,ctx_category > cpa > ctx_brand > ctx_brand > retarget,5,1
337,9243,retarget > retarget > retarget,3,1
338,13671,ctx_category > ctx_brand > retarget,3,1
339,22662,ctx_brand > retarget,2,1
340,16084,ctx_brand > cpa,2,1
341,17653,influencer > retarget > influencer > retarget > retarget,5,1
342,16878,ctx_category > cpa > ctx_brand > cpa > retarget,5,1
343,19109,ctx_brand > social > social,3,1
344,12940,ctx_brand > retarget > retarget > retarget,4,1
345,18479,influencer > ctx_category > social > ctx_brand > ctx_brand > retarget,6,1
346,8465,retarget > retarget > social > influencer > retarget,5,1
347,12380,ctx_brand > ctx_brand > retarget,3,1
348,39515,influencer > organic,2,1
349,14403,cpa > retarget > social,3,1
350,18829,retarget > influencer > retarget,3,1
351,11323,ctx_brand > retarget > influencer > social > retarget,5,1
352,19893,ctx_brand > ctx_brand > retarget > retarget > social > retarget,6,1
353,9291,retarget > ctx_category,2,1
354,1643,social > retarget,2,1
355,3485,retarget > cpa > retarget,3,1
356,20114,influencer > social > influencer > cpa > retarget,5,1
357,16015,retarget,1,1
358,12717,organic,1,1
359,13785,retarget > retarget > retarget,3,1
360,36421,influencer > ctx_brand > ctx_category > retarget,4,1
361,25666,ctx_category > social > social > influencer > retarget,5,1
362,31193,cpa > social > social > cpa > retarget,5,1
363,8368,influencer > ctx_brand > social > cpa > retarget,5,1
364,8794,ctx_brand > influencer,2,1
365,20732,influencer > retarget > ctx_category > influencer > retarget > retarget,6,1
366,29025,influencer > influencer,2,1
367,17348,ctx_category > ctx_brand,2,1
368,1776,influencer > ctx_brand > ctx_brand > influencer > retarget,5,1
369,15434,influencer > retarget > ctx_category,3,1
370,19876,ctx_category,1,1
371,24819,retarget > social > retarget,3,1
372,24793,influencer > ctx_category > retarget,3,1
373,24358,influencer > retarget > cpa > cpa > retarget,5,1
374,20342,organic > retarget,2,1
375,3196,retarget > retarget,2,1
376,25573,influencer > ctx_brand > influencer > retarget,4,1
377,21363,retarget > cpa > retarget,3,1
378,21500,retarget > ctx_category > ctx_category > retarget,4,1
379,37001,influencer > cpa > ctx_category > retarget,4,1
380,32503,ctx_category > social > ctx_brand > retarget,4,1
381,4336,retarget > retarget,2,1
382,10003,influencer > organic > retarget,3,1
383,34539,ctx_category > ctx_brand > retarget,3,1
384,28751,retarget > ctx_category > ctx_brand > retarget,4,1
385,23779,ctx_category > cpa > retarget,3,1
386,29722,cpa > influencer > ctx_category,3,1
387,13580,ctx_brand > cpa > retarget > retarget,4,1
388,20027,influencer > retarget > retarget,3,1
389,13218,ctx_category > ctx_brand > influencer > ctx_category > retarget,5,1
390,6553,social,1,1
391,3509,ctx_category > ctx_category > retarget,3,1
392,15880,social > retarget,2,1
393,8426,retarget > retarget,2,1
394,27808,influencer > cpa > ctx_category > cpa > retarget,5,1
395,11691,influencer > ctx_brand > retarget,3,1
396,14591,ctx_brand > cpa,2,1
397,38815,ctx_category > influencer,2,1
398,6614,ctx_category > cpa > retarget,3,1
399,34062,ctx_brand > social > retarget,3,1
400,39697,ctx_brand > retarget > retarget,3,1
401,9909,ctx_category > ctx_category > ctx_category > ctx_category > retarget,5,1
402,33652,retarget > retarget,2,1
403,39021,ctx_category > retarget > social,3,1
404,26137,cpa > social > retarget,3,1
405,28141,influencer > ctx_brand > ctx_brand > retarget > retarget,5,1
406,1604,ctx_brand > retarget,2,1
407,12731,influencer > retarget > ctx_category > retarget,4,1
408,9290,organic > retarget,2,1
409,33497,influencer > retarget > ctx_category > retarget,4,1
410,10780,influencer > retarget,2,1
411,38707,influencer > cpa > retarget,3,1
412,24720,social > retarget,2,1
413,12268,social > retarget > retarget,3,1
414,434,influencer > social > retarget,3,1
415,28946,influencer > retarget > retarget > ctx_category > ctx_brand > retarget,6,1
416,29015,influencer > ctx_brand > cpa > ctx_category > retarget,5,1
417,996,influencer > social > ctx_category > retarget,4,1
418,26624,retarget > retarget,2,1
419,7086,influencer > retarget > ctx_brand > influencer > retarget,5,1
420,32472,influencer > social > retarget > retarget,4,1
421,7174,retarget > retarget > retarget,3,1
422,11915,influencer > ctx_category > retarget > retarget,4,1
423,19790,ctx_category > ctx_category,2,1
424,36765,influencer > retarget > retarget > ctx_brand > retarget,5,1
425,27870,organic > retarget,2,1
426,14779,ctx_category > influencer > retarget,3,1
427,23758,retarget > ctx_category > retarget,3,1
428,34919,ctx_category > retarget > influencer > retarget,4,1
429,22834,retarget > cpa > retarget,3,1
430,20277,influencer > cpa > ctx_brand > ctx_category > cpa > retarget,6,1
431,32055,ctx_brand > ctx_category > retarget > retarget,4,1
432,24218,influencer > ctx_brand > retarget,3,1
433,13269,influencer > ctx_brand > cpa > retarget,4,1
434,27584,influencer > retarget > influencer > retarget > cpa > retarget,6,1
435,21912,ctx_category > retarget > retarget,3,1
436,10408,retarget > social > retarget > retarget,4,1
437,16345,social > social > ctx_category > ctx_category,4,1
438,9264,retarget > ctx_category > retarget,3,1
439,14249,influencer > influencer > social > cpa > retarget,5,1
440,12291,influencer > retarget > retarget,3,1
441,7884,retarget > cpa > retarget,3,1
442,14167,influencer > cpa > retarget,3,1
443,18702,influencer > retarget > retarget,3,1
444,5773,organic,1,1
445,5596,influencer > retarget > ctx_brand > retarget,4,1
446,30804,ctx_category > influencer > retarget,3,1
447,10047,ctx_category,1,1
448,21833,ctx_category > influencer > influencer > retarget,4,1
449,39855,retarget > cpa > retarget > retarget > social > cpa > retarget,7,1
450,39479,influencer > ctx_category > retarget > cpa > ctx_category > cpa > retarget,7,1
451,14740,ctx_brand > retarget,2,1
452,36512,influencer > retarget > ctx_brand > retarget,4,1
453,15333,ctx_category > social > ctx_brand > retarget > retarget,5,1
454,23905,influencer > retarget > influencer > retarget,4,1
455,36208,influencer > retarget > ctx_brand > retarget,4,1
456,10073,ctx_category > ctx_brand > ctx_category > retarget,4,1
457,30970,influencer > ctx_category > retarget > ctx_category > influencer > retarget,6,1
458,21212,influencer > social > ctx_brand,3,1
459,1130,ctx_category > ctx_brand > retarget,3,1
460,35627,influencer > cpa > cpa > retarget,4,1
461,29075,cpa > influencer > cpa > cpa > retarget,5,1
462,2689,retarget > retarget > retarget > cpa > retarget,5,1
463,27230,ctx_brand > ctx_category > ctx_category > ctx_brand > retarget > retarget,6,1
464,33393,social > retarget,2,1
465,24286,influencer > cpa > social > retarget,4,1
466,2915,ctx_brand > retarget,2,1
467,8586,ctx_brand > influencer > retarget,3,1
468,27838,influencer > influencer > influencer > ctx_category > retarget,5,1
469,31246,ctx_category > ctx_category > ctx_brand,3,1
470,18039,cpa > social > retarget,3,1
471,19338,ctx_category > retarget,2,1
472,36623,influencer > influencer > ctx_brand > ctx_category,4,1
473,34467,retarget > influencer,2,1
474,35379,influencer > ctx_category > ctx_category > social > retarget > retarget,6,1
475,13278,ctx_brand > social > cpa > ctx_brand > retarget,5,1
476,30138,retarget > cpa > social > retarget,4,1
477,38597,influencer > cpa > ctx_brand > ctx_brand > retarget,5,1
478,21848,influencer > ctx_category > retarget > retarget,4,1
479,37777,influencer > ctx_brand > retarget > ctx_category,4,1
480,14223,retarget > ctx_category > social > retarget,4,1
481,21725,influencer > organic,2,1
482,27819,influencer > ctx_category > social > retarget,4,1
483,12474,influencer > social > retarget,3,1
484,9076,social > cpa > retarget,3,1
485,24957,influencer > ctx_brand > retarget,3,1
486,30821,retarget > retarget > retarget > ctx_brand > social,5,1
487,34071,influencer > ctx_brand > cpa > cpa > retarget,5,1
488,5288,cpa > ctx_brand > social > retarget,4,1
489,32326,cpa > retarget > ctx_category > retarget,4,1
490,2493,cpa > retarget,2,1
491,34305,ctx_brand > retarget > retarget > retarget > influencer,5,1
492,14653,influencer > ctx_brand > influencer > retarget,4,1
493,8771,social > influencer > retarget,3,1
494,31171,ctx_category > retarget,2,1
495,12880,ctx_category > influencer > retarget,3,1
496,28635,influencer > ctx_category > ctx_brand > retarget,4,1
497,4550,influencer > retarget > ctx_brand > retarget,4,1
498,25700,social > retarget,2,1
499,7841,influencer > organic > retarget,3,1
500,12497,influencer > influencer > retarget,3,1
501,30338,ctx_brand > retarget,2,1
502,23677,influencer > social > ctx_category > retarget,4,1
503,29776,ctx_brand > ctx_category > retarget > retarget,4,1
504,36785,influencer > ctx_brand > ctx_brand > retarget,4,1
505,23539,influencer > ctx_category > social > retarget,4,1
506,34830,retarget > cpa > ctx_category > retarget,4,1
507,16192,influencer > social > retarget > retarget,4,1
508,31203,influencer > ctx_category > cpa > retarget,4,1
509,14746,ctx_brand > influencer > ctx_brand > cpa > retarget,5,1
510,27315,influencer > retarget > retarget > retarget,4,1
511,4183,ctx_brand > cpa > cpa,3,1
512,11874,cpa > retarget,2,1
513,7865,organic > retarget,2,1
514,36752,influencer > retarget > ctx_brand > social > retarget,5,1
515,38326,ctx_category > retarget > retarget,3,1
516,34814,cpa > retarget > social > retarget,4,1
517,2268,ctx_category > ctx_category > ctx_category > social > retarget,5,1
518,7029,retarget > cpa > cpa > retarget,4,1
519,1179,cpa > influencer > retarget,3,1
520,29598,cpa > influencer > retarget,3,1
521,1606,influencer > social > retarget > retarget > ctx_category > retarget,6,1
522,17068,influencer > ctx_category > retarget > social > social > retarget,6,1
523,2180,ctx_brand > ctx_category > retarget,3,1
524,2478,ctx_brand > ctx_brand > retarget,3,1
525,34079,influencer > cpa > retarget > ctx_brand > retarget,5,1
526,22266,influencer > ctx_category > cpa > retarget,4,1
527,331,influencer > ctx_category > cpa > social > retarget > cpa > retarget > retarget,8,1
528,4692,influencer > ctx_brand,2,1
529,35844,retarget > influencer > retarget,3,1
530,28105,retarget > ctx_category > social > retarget,4,1
531,1232,influencer > cpa > influencer > retarget,4,1
532,15139,ctx_brand > ctx_category > retarget,3,1
533,9523,ctx_category > ctx_category > cpa > influencer > social > retarget,6,1
534,21137,ctx_category > ctx_category > retarget > cpa > retarget,5,1
535,35244,ctx_category > ctx_category > ctx_category,3,1
536,1218,influencer > cpa > ctx_category > influencer > retarget,5,1
537,34026,influencer > social > retarget > retarget,4,1
538,24067,ctx_brand > retarget,2,1
539,7960,influencer > ctx_category > cpa > influencer > retarget,5,1
540,1100,social > influencer > retarget,3,1
541,20706,retarget > retarget,2,1
542,21320,ctx_brand > ctx_category > retarget,3,1
543,2080,social > retarget,2,1
544,1702,social > ctx_brand > retarget,3,1
545,8933,ctx_category > ctx_category > influencer > ctx_brand > ctx_brand > retarget > retarget,7,1
