user_id,channel,group,n_orders_before,days_since_last_order,promo_hunter,second_order_30d
23516,organic,treatment,9,5.7,0,1
30502,organic,treatment,3,21.7,0,0
25787,ctx_brand,control,1,22.2,0,0
28257,organic,control,6,6.4,1,0
20161,tv,treatment,13,1.0,0,1
23383,organic,treatment,2,20.8,1,0
29164,ctx_category,control,6,4.5,0,1
2549,ctx_category,control,9,2.1,0,0
22367,ctx_category,treatment,2,15.3,0,0
636,ctx_category,control,6,6.0,0,1
25447,organic,treatment,4,19.7,0,1
5437,ctx_category,control,6,1.0,0,0
21263,ctx_category,treatment,7,7.5,0,1
10917,organic,control,10,6.5,0,1
27689,organic,control,5,10.4,0,0
26461,organic,treatment,7,3.7,0,1
25914,ctx_brand,control,6,6.4,0,1
33278,cpa,control,5,9.2,1,0
29209,ctx_brand,control,1,25.4,0,0
28863,organic,treatment,8,3.7,0,1
2570,ctx_brand,control,6,3.7,0,0
29825,ctx_category,control,5,14.3,0,0
37590,organic,treatment,2,24.7,0,0
20992,organic,treatment,3,24.1,0,0
15467,tv,treatment,2,19.0,0,0
22064,organic,control,6,9.0,0,1
11347,cpa,control,5,3.6,0,1
6595,cpa,control,5,8.7,1,1
17470,cpa,treatment,6,4.7,0,1
13686,ctx_category,control,8,1.0,0,1
38146,organic,control,3,16.3,0,0
15072,ctx_brand,control,2,26.1,0,0
33215,ctx_category,treatment,9,6.4,0,1
37314,social,treatment,6,1.0,1,0
29566,organic,control,8,6.1,0,0
14035,social,treatment,6,1.5,0,1
32563,organic,treatment,5,12.6,1,0
33810,organic,treatment,2,12.7,0,1
26695,influencer,control,7,6.9,0,1
24434,ctx_category,treatment,7,10.4,0,0
12451,social,treatment,1,21.4,0,0
15895,organic,control,6,23.4,0,0
9298,ctx_brand,control,6,5.1,0,0
18202,ctx_category,treatment,7,3.9,0,1
18887,ctx_category,treatment,9,9.2,0,1
35622,ctx_category,control,5,8.6,1,1
19851,ctx_category,treatment,7,7.9,0,0
21049,ctx_brand,treatment,8,8.1,0,1
27869,influencer,treatment,5,3.4,0,1
8606,organic,control,5,11.4,0,1
30622,organic,treatment,5,3.0,0,0
19782,cpa,control,5,14.7,1,0
24709,ctx_category,control,2,11.0,0,0
3531,ctx_category,treatment,6,5.5,0,0
11172,ctx_category,treatment,6,5.3,0,0
31478,organic,control,7,4.3,0,0
37784,ctx_brand,treatment,6,1.0,0,1
8638,ctx_category,control,6,8.1,0,1
24493,organic,control,6,7.5,0,1
3563,ctx_category,treatment,3,21.6,0,0
2077,organic,treatment,7,4.4,0,0
6671,ctx_category,control,8,7.7,0,1
21304,ctx_brand,control,6,5.0,0,1
14073,organic,control,6,5.3,0,0
2049,ctx_brand,control,5,15.6,0,0
29916,organic,treatment,6,9.0,0,0
13430,social,control,6,3.3,0,0
29908,ctx_category,treatment,1,17.8,0,0
961,organic,treatment,8,4.8,0,1
32472,social,control,8,5.3,0,0
10424,organic,control,11,7.9,0,0
33334,ctx_category,control,3,23.7,1,0
16321,organic,treatment,5,12.3,0,1
22426,ctx_brand,control,3,17.7,0,1
1039,organic,control,5,13.9,1,0
24657,organic,control,1,22.3,0,0
37510,ctx_brand,control,3,15.0,1,0
37060,organic,treatment,6,20.6,0,0
9009,cpa,control,5,8.7,1,1
18278,social,treatment,3,20.5,0,0
21616,ctx_brand,treatment,3,15.1,0,0
25495,ctx_category,control,9,7.6,0,1
2313,ctx_category,treatment,7,9.5,1,0
13716,organic,treatment,3,16.4,0,1
39599,cpa,control,6,1.0,0,1
8485,tv,treatment,6,7.0,0,0
34194,ctx_brand,control,2,15.8,0,0
13050,organic,control,6,6.9,0,1
5743,organic,treatment,5,4.7,0,0
15173,ctx_brand,control,7,3.5,0,0
10374,cpa,control,1,19.1,1,0
23633,organic,treatment,3,25.2,0,0
32667,social,treatment,7,5.2,0,1
28685,organic,control,4,22.3,0,0
30580,organic,control,2,20.4,1,0
20973,influencer,control,4,7.1,0,0
23805,ctx_category,control,6,4.9,0,1
36739,social,control,7,7.3,1,1
6226,ctx_brand,control,2,19.2,0,0
19844,ctx_brand,control,5,18.0,0,1
23252,ctx_category,control,7,3.9,0,1
3337,organic,control,2,13.9,0,0
31737,organic,control,4,13.6,0,0
37137,organic,treatment,8,5.9,0,1
8519,ctx_category,treatment,8,1.1,1,0
3433,organic,control,9,1.8,1,1
36523,ctx_brand,control,3,9.4,0,0
26271,organic,control,7,5.5,1,1
35488,ctx_category,control,7,3.0,0,0
6150,cpa,treatment,3,8.9,1,0
34303,organic,treatment,6,11.3,0,1
35970,ctx_category,control,3,14.0,0,0
17319,tv,treatment,5,9.4,0,1
2412,social,control,1,25.4,0,0
9519,ctx_brand,treatment,5,2.4,0,0
26435,organic,treatment,7,6.8,0,0
37367,organic,treatment,1,22.9,0,0
26645,ctx_brand,control,8,6.0,0,0
7067,organic,treatment,4,17.8,0,0
25377,ctx_category,control,9,2.8,0,1
35763,organic,control,6,5.9,0,0
10719,organic,treatment,6,6.6,0,1
22498,ctx_brand,treatment,5,3.8,0,1
32162,ctx_brand,treatment,6,4.8,0,0
12885,organic,control,1,19.3,0,0
39715,organic,treatment,6,7.7,0,0
20514,ctx_category,treatment,7,3.0,0,0
585,organic,treatment,8,4.8,0,0
12461,organic,control,6,4.6,0,0
36072,cpa,treatment,7,3.1,0,0
36980,ctx_brand,treatment,4,14.6,0,0
10927,organic,treatment,5,3.8,1,0
35540,organic,control,8,6.3,0,0
34080,ctx_category,control,8,7.2,0,1
11261,ctx_category,control,2,16.2,0,1
6712,ctx_brand,control,6,6.9,0,0
212,social,treatment,7,5.5,0,0
18479,cpa,treatment,4,22.4,0,0
28520,ctx_category,control,5,7.4,0,1
30554,organic,control,4,13.4,0,0
30019,organic,control,7,5.5,1,1
2731,cpa,treatment,7,11.2,0,1
13440,organic,treatment,2,21.4,0,0
24784,organic,treatment,5,9.2,0,1
16025,ctx_brand,control,6,3.7,0,1
31384,organic,control,2,23.9,0,0
12653,influencer,treatment,7,2.2,0,0
21419,cpa,treatment,7,4.0,1,1
23976,organic,treatment,6,8.4,0,0
25563,organic,control,8,1.0,0,0
25503,influencer,control,2,12.0,0,1
29667,organic,treatment,7,5.0,0,1
11908,ctx_brand,control,8,4.0,0,0
24749,social,control,5,5.2,0,1
8454,ctx_brand,treatment,6,8.1,0,1
9008,ctx_category,treatment,2,23.4,1,0
17506,ctx_category,treatment,7,4.4,0,0
11862,influencer,treatment,5,9.4,1,0
27549,social,control,6,5.8,0,0
6523,ctx_brand,control,5,2.4,0,1
20065,ctx_category,treatment,5,1.0,0,1
11911,influencer,treatment,1,20.5,0,0
34935,organic,control,7,2.0,0,1
24923,influencer,control,7,5.6,1,1
20786,organic,treatment,6,1.0,0,1
38274,organic,control,2,21.5,0,0
35538,ctx_category,control,3,14.7,0,0
18214,ctx_category,treatment,7,7.1,0,1
9994,ctx_brand,treatment,6,1.7,0,1
29947,organic,control,6,10.5,0,0
5205,ctx_category,treatment,6,4.9,1,0
17990,influencer,treatment,8,6.2,0,1
21454,organic,treatment,8,5.3,0,1
19792,organic,treatment,6,5.4,0,1
24741,organic,control,7,1.6,0,0
37614,ctx_category,control,2,14.2,0,0
2163,organic,control,8,1.8,0,1
35420,organic,control,8,3.7,0,0
37835,social,control,6,6.4,1,1
1280,organic,treatment,6,4.0,1,1
20009,ctx_category,control,5,4.0,0,1
33030,organic,treatment,7,8.2,0,0
25180,organic,treatment,6,7.0,0,1
33719,organic,treatment,2,19.4,0,0
14207,organic,control,5,4.0,0,1
29271,ctx_brand,treatment,6,15.8,0,1
20042,ctx_brand,control,5,8.3,0,1
28679,cpa,treatment,2,12.9,1,0
23235,organic,control,3,13.2,0,0
27952,ctx_brand,control,1,23.1,0,0
6890,ctx_category,control,7,7.0,0,1
34982,organic,control,3,23.4,0,0
19031,tv,control,2,18.7,0,0
3513,organic,treatment,4,8.0,0,1
8187,organic,treatment,8,6.0,0,1
37496,ctx_brand,treatment,3,25.2,0,0
2640,influencer,treatment,5,10.6,0,1
1642,organic,treatment,6,3.9,0,0
19967,social,treatment,6,3.6,1,1
19434,cpa,control,8,4.3,1,0
6321,ctx_brand,control,5,12.8,0,1
23249,cpa,treatment,5,5.6,0,1
31141,organic,control,7,2.1,0,0
3164,ctx_brand,control,8,7.7,0,1
10522,organic,treatment,5,7.4,0,1
13020,cpa,treatment,2,18.6,0,0
33994,cpa,treatment,3,11.1,0,1
3135,ctx_category,control,8,7.4,0,0
1533,organic,control,6,5.8,0,1
2238,cpa,control,7,7.9,1,1
12131,cpa,control,6,6.3,0,1
14710,organic,control,2,10.3,0,0
34330,ctx_category,control,7,10.2,0,0
18819,social,treatment,7,2.2,1,1
14195,organic,control,5,8.0,0,0
21554,organic,control,2,16.9,1,1
23494,ctx_brand,control,5,5.6,0,1
10151,organic,control,4,13.7,0,0
6055,organic,control,7,3.0,0,1
33433,ctx_brand,treatment,6,23.9,0,1
18357,organic,treatment,9,10.1,1,0
10072,ctx_category,treatment,6,12.9,0,0
22224,cpa,treatment,4,21.1,0,0
22039,ctx_brand,treatment,6,6.8,0,1
17509,organic,treatment,3,19.7,0,0
13869,ctx_category,control,4,24.9,1,0
20811,organic,control,7,1.0,0,0
6413,cpa,treatment,3,28.5,0,0
6030,ctx_brand,control,6,6.6,0,0
5292,ctx_brand,treatment,4,17.8,1,0
27021,cpa,treatment,7,3.2,0,0
28884,organic,treatment,3,21.9,0,1
25295,organic,control,6,9.4,0,1
16205,ctx_category,treatment,2,8.8,0,0
34024,ctx_category,control,9,5.3,0,0
13723,organic,control,4,19.9,0,0
24432,ctx_brand,control,8,8.2,0,1
8750,ctx_brand,treatment,2,14.8,1,0
32988,organic,control,7,7.4,0,1
3356,organic,control,8,6.8,0,1
464,ctx_category,control,2,17.2,1,0
8088,social,treatment,3,12.3,0,1
35471,influencer,treatment,6,5.3,0,1
22015,ctx_brand,control,7,1.0,0,1
30815,organic,control,3,19.3,0,0
14912,ctx_category,control,7,4.6,0,0
31309,organic,control,2,12.2,0,0
6596,organic,control,5,7.3,0,1
29882,organic,control,7,12.2,0,1
16449,organic,control,3,16.8,0,0
9088,ctx_brand,control,1,21.4,0,0
21825,organic,control,6,9.8,0,1
16464,organic,control,9,6.1,0,1
23855,ctx_brand,treatment,2,18.4,0,0
31455,tv,treatment,2,15.5,0,0
18685,ctx_category,control,5,3.8,0,0
19004,organic,control,5,12.4,0,1
22362,organic,treatment,5,10.3,0,1
28983,tv,control,3,13.3,0,1
39647,organic,treatment,5,11.4,0,0
7260,ctx_brand,control,7,7.6,0,0
21114,ctx_category,treatment,5,8.4,0,0
29487,ctx_brand,control,1,20.4,1,0
26930,cpa,treatment,5,5.4,1,0
31139,ctx_category,control,7,6.0,1,0
36060,organic,control,3,18.6,0,0
12920,organic,treatment,2,24.4,0,1
3460,organic,treatment,6,6.7,0,1
13228,organic,treatment,2,23.8,1,0
4741,influencer,control,3,18.5,0,0
39155,ctx_category,control,8,2.3,0,0
34671,organic,treatment,6,3.9,0,1
38289,organic,control,6,5.2,0,0
15284,organic,control,6,15.3,0,0
2644,organic,control,4,25.9,0,0
8079,social,treatment,5,9.2,1,1
24867,organic,control,8,3.6,0,1
23142,organic,control,3,21.2,0,0
27661,ctx_brand,control,3,17.4,0,0
39611,organic,treatment,7,7.0,0,0
31017,organic,treatment,3,14.8,0,0
28056,organic,control,3,15.6,0,0
2774,influencer,treatment,8,9.1,0,0
4867,ctx_category,treatment,2,17.4,0,0
7281,ctx_category,treatment,5,9.7,0,0
33671,organic,control,6,8.3,0,1
11804,ctx_category,treatment,7,1.0,0,0
22760,social,control,3,14.4,0,1
36354,organic,treatment,6,8.4,1,0
13552,organic,control,2,23.8,0,0
26899,influencer,control,3,22.1,0,0
10612,organic,treatment,5,11.3,0,1
14343,organic,treatment,2,14.5,0,0
33805,organic,treatment,6,3.2,0,0
21159,organic,treatment,2,18.1,0,0
4640,ctx_brand,control,4,17.1,0,0
18355,ctx_category,treatment,2,16.9,0,0
26000,ctx_brand,control,8,7.4,1,0
27718,organic,treatment,6,4.4,0,1
36744,organic,control,6,3.9,0,1
11210,ctx_brand,treatment,3,11.6,1,1
26818,ctx_category,control,5,7.4,1,1
5903,organic,treatment,6,2.5,0,1
11270,ctx_brand,treatment,7,3.5,0,0
12716,organic,treatment,2,11.3,0,0
3290,organic,treatment,1,21.8,0,0
9267,organic,treatment,8,15.0,0,0
34198,organic,control,6,1.0,0,1
235,social,control,5,7.6,0,0
7695,cpa,control,2,18.0,0,0
15907,ctx_category,control,2,16.1,0,0
26328,organic,control,7,4.7,0,0
21146,cpa,control,5,17.5,0,0
16080,ctx_brand,treatment,7,1.0,1,0
37993,ctx_category,control,2,13.6,0,0
37505,ctx_category,control,6,3.8,0,1
5582,ctx_brand,treatment,9,1.0,0,0
14568,organic,treatment,1,21.6,0,0
32481,ctx_category,treatment,7,10.1,0,1
27762,influencer,control,7,1.0,0,1
24696,tv,control,7,3.4,1,1
19763,organic,treatment,8,5.4,0,0
30539,ctx_category,treatment,3,12.7,0,1
21227,organic,treatment,7,4.7,0,1
24558,organic,control,1,23.3,0,0
12092,ctx_brand,control,6,12.0,0,0
11668,organic,control,3,22.3,0,0
27093,influencer,treatment,5,9.8,0,1
38997,organic,control,1,16.1,0,0
7197,organic,control,3,13.5,0,0
10355,tv,control,5,16.7,0,1
39747,organic,control,5,5.0,0,1
35423,ctx_category,control,3,11.7,0,0
20789,organic,treatment,5,1.5,0,1
11400,organic,treatment,3,17.1,0,0
4503,social,treatment,2,20.7,0,0
29681,organic,treatment,1,20.3,0,0
265,cpa,control,1,20.2,0,0
33718,ctx_category,control,8,6.4,0,0
14813,organic,treatment,6,7.9,0,0
7042,ctx_brand,treatment,5,8.9,0,0
29506,ctx_category,control,7,7.1,0,1
118,ctx_category,control,8,9.9,0,0
33189,ctx_category,control,8,10.2,0,0
27096,organic,control,7,5.8,0,1
15962,organic,treatment,3,19.6,0,0
25917,organic,treatment,6,9.2,0,0
29814,ctx_brand,treatment,7,11.3,1,0
36132,ctx_brand,treatment,8,7.5,0,0
28634,influencer,treatment,9,2.0,0,1
16278,organic,control,11,1.6,0,1
12442,organic,treatment,5,8.1,0,1
35095,ctx_category,control,5,5.3,0,1
18192,ctx_category,control,2,21.1,0,0
35717,ctx_category,control,6,11.2,1,0
27497,ctx_brand,control,3,21.9,0,0
2561,cpa,control,5,6.9,0,0
20086,organic,treatment,6,4.2,0,0
6245,cpa,control,6,8.9,1,0
31596,organic,control,2,17.1,0,0
5468,ctx_category,control,2,16.2,0,1
9823,ctx_brand,treatment,1,24.6,0,0
8188,tv,control,9,5.0,1,1
23128,ctx_brand,control,2,20.2,0,0
18199,ctx_brand,control,4,13.7,0,0
18481,organic,control,2,18.1,0,0
13043,cpa,control,5,8.5,1,0
3141,social,treatment,7,7.6,1,1
1327,organic,control,6,5.4,0,1
24851,ctx_brand,control,8,2.7,0,1
32966,organic,treatment,2,20.7,0,0
36149,organic,control,3,16.1,0,0
35587,ctx_category,treatment,6,3.9,0,1
11447,organic,control,6,10.5,0,0
1825,ctx_category,control,9,8.8,0,1
26547,organic,treatment,8,8.4,0,1
8789,social,treatment,3,16.6,0,0
11939,ctx_brand,treatment,5,10.8,0,1
8915,ctx_category,treatment,3,13.0,1,1
30043,ctx_brand,treatment,6,4.4,0,0
16186,ctx_category,control,7,6.7,0,0
652,organic,control,6,4.0,0,0
14799,organic,treatment,8,6.2,0,1
260,ctx_brand,control,5,9.6,0,0
2795,ctx_brand,treatment,5,9.2,0,1
15402,ctx_category,control,6,9.2,0,1
3097,organic,control,8,1.9,0,0
22811,organic,treatment,6,7.8,0,1
21765,social,treatment,6,4.4,0,0
2106,ctx_brand,control,2,22.7,0,0
18603,organic,control,7,7.3,1,1
21331,influencer,treatment,6,3.9,0,0
12208,ctx_category,control,7,5.9,0,1
34418,social,control,1,22.1,0,0
23833,organic,treatment,8,5.9,0,1
9789,organic,control,6,8.0,0,1
36377,organic,control,9,5.7,0,0
31253,organic,treatment,2,22.1,1,1
17409,organic,control,6,7.5,0,1
23284,ctx_brand,treatment,7,2.0,0,1
17045,ctx_category,treatment,5,2.9,0,0
20475,ctx_brand,treatment,1,22.5,0,0
17055,influencer,control,5,2.8,0,0
23970,organic,treatment,5,5.8,0,0
26917,ctx_category,control,6,13.9,0,0
28719,ctx_brand,treatment,3,15.5,0,0
34071,organic,treatment,5,3.0,0,1
14562,ctx_category,treatment,5,7.8,0,1
16702,ctx_category,control,8,8.3,0,0
33567,organic,control,6,9.4,0,0
14178,ctx_brand,control,7,8.6,0,1
20300,organic,control,7,7.5,0,1
15935,organic,treatment,5,12.1,0,0
26517,ctx_category,control,9,6.0,0,0
8640,organic,control,7,8.1,0,0
21526,ctx_category,control,7,1.6,0,0
19534,ctx_category,treatment,5,11.5,0,1
30757,ctx_category,treatment,7,8.7,0,1
172,organic,control,2,19.6,0,0
23285,organic,treatment,1,20.5,0,0
17789,organic,control,3,15.0,0,0
34992,ctx_category,control,1,23.8,1,0
20366,organic,control,7,11.1,0,0
8512,ctx_category,treatment,11,10.2,1,1
36541,organic,treatment,5,3.0,0,0
29044,social,control,1,21.3,0,0
2125,organic,control,10,7.8,0,1
24045,influencer,treatment,11,3.3,0,1
23798,influencer,control,6,7.3,0,0
17135,organic,treatment,6,6.5,0,1
8234,tv,control,6,2.8,0,1
5593,ctx_brand,control,4,18.8,0,0
36189,organic,treatment,10,2.5,1,1
33255,ctx_category,control,4,12.0,1,0
25407,ctx_brand,treatment,3,22.5,0,0
34788,organic,treatment,4,14.6,0,0
39138,organic,treatment,5,9.8,0,0
31971,organic,control,6,4.7,0,0
28871,ctx_category,treatment,5,9.8,0,0
26135,influencer,treatment,1,21.8,1,0
24706,tv,control,3,23.7,0,0
5814,social,control,2,14.5,1,0
4858,organic,treatment,3,11.4,1,0
35148,ctx_brand,control,5,5.2,0,1
11184,influencer,control,2,20.7,0,0
28205,organic,treatment,2,27.7,0,0
13886,influencer,control,9,3.6,0,1
9524,cpa,control,5,13.2,0,0
33782,organic,treatment,6,10.1,0,0
20116,organic,treatment,5,5.7,0,1
38896,organic,control,2,18.2,0,0
22610,organic,treatment,7,1.3,0,1
33721,ctx_category,control,7,23.3,1,0
10356,ctx_brand,treatment,5,11.9,0,1
11152,social,control,3,27.7,0,0
2496,ctx_category,treatment,7,1.0,0,0
21666,ctx_category,control,6,8.6,0,1
37605,ctx_category,control,5,10.9,0,0
23680,ctx_brand,treatment,6,2.8,0,1
24824,ctx_category,control,6,1.7,1,1
29996,ctx_brand,treatment,6,1.9,0,1
5045,organic,control,5,7.5,0,0
19228,ctx_category,treatment,5,16.1,0,0
10457,organic,treatment,7,2.8,0,1
26457,social,treatment,5,1.9,1,0
20607,tv,treatment,6,4.8,0,1
8190,ctx_category,control,4,12.4,1,0
15198,organic,treatment,1,20.0,0,0
32449,organic,control,7,7.5,0,1
18734,cpa,control,3,22.2,0,0
13146,ctx_brand,treatment,2,15.7,0,0
9831,ctx_brand,control,5,14.1,0,0
16834,cpa,treatment,7,1.0,0,1
11695,social,treatment,1,21.7,1,0
28032,organic,control,7,6.5,0,1
20519,organic,treatment,5,4.0,0,0
31712,ctx_category,treatment,5,10.7,0,1
17927,influencer,control,1,22.1,0,0
17616,influencer,control,3,18.9,0,0
15696,ctx_category,control,7,8.1,0,1
30807,influencer,control,6,6.9,0,0
26015,cpa,control,7,5.9,0,1
16048,ctx_brand,treatment,6,4.8,0,0
7701,organic,control,6,8.4,0,1
31348,ctx_brand,treatment,3,18.2,0,0
19051,organic,control,2,18.3,0,0
397,ctx_brand,control,4,20.8,0,0
29493,ctx_brand,treatment,7,7.1,0,1
19160,organic,control,3,21.9,0,0
11823,organic,treatment,8,8.8,0,1
27201,ctx_brand,control,3,13.4,0,0
20345,ctx_category,treatment,2,19.4,0,0
38236,ctx_category,treatment,2,16.2,0,0
10883,ctx_category,control,2,16.2,0,0
17691,ctx_category,control,9,6.9,0,1
1985,organic,treatment,10,5.7,0,0
35550,organic,treatment,6,6.0,0,0
22827,organic,treatment,7,4.2,0,0
10043,organic,control,7,8.2,0,1
16446,cpa,treatment,1,19.1,0,0
2010,ctx_brand,control,4,16.2,0,0
21943,ctx_category,control,8,1.0,0,0
6633,cpa,control,2,11.3,0,0
11391,organic,control,3,23.0,0,0
18009,ctx_category,treatment,6,4.0,0,0
8596,influencer,control,6,3.4,1,1
38182,social,treatment,5,2.5,0,0
34436,organic,control,5,3.8,0,1
9375,ctx_category,treatment,10,8.7,1,1
20662,organic,control,2,22.6,0,0
33281,ctx_category,treatment,2,20.3,0,1
35668,ctx_brand,treatment,1,21.0,1,0
5337,organic,treatment,5,1.0,0,1
20940,cpa,control,8,4.9,0,0
19424,organic,control,5,4.6,1,0
9715,cpa,control,5,1.0,1,0
32359,organic,control,7,4.8,0,0
2647,influencer,treatment,6,16.7,0,0
37259,organic,treatment,5,6.2,0,0
21520,organic,treatment,5,5.1,0,0
32766,ctx_brand,control,3,22.2,1,0
10188,organic,treatment,3,18.6,1,0
18825,organic,treatment,4,22.5,1,0
7099,organic,treatment,2,20.9,0,0
20206,organic,control,2,24.3,0,0
37531,organic,control,6,1.0,1,1
33939,social,control,8,3.2,0,0
20355,tv,control,9,3.7,0,0
12100,influencer,control,7,5.8,0,0
30485,organic,control,1,20.2,0,0
6962,ctx_category,treatment,6,7.2,0,1
14495,organic,treatment,1,21.4,0,0
21527,ctx_category,control,4,26.9,0,0
28730,organic,treatment,4,15.5,1,1
13289,organic,treatment,5,1.0,0,1
23719,organic,treatment,6,10.6,0,0
22122,organic,control,2,19.1,0,1
33158,influencer,treatment,6,4.9,0,0
28611,cpa,treatment,6,5.8,0,0
17770,organic,treatment,7,5.5,0,1
1416,ctx_brand,control,5,5.0,0,0
14899,cpa,treatment,5,5.9,0,0
38466,ctx_category,treatment,2,17.4,0,0
31396,cpa,control,7,5.7,0,0
21009,social,treatment,2,15.7,0,1
22433,organic,control,2,16.6,1,0
17161,social,control,6,5.0,0,1
32633,organic,treatment,6,6.0,0,0
37584,organic,treatment,2,14.9,0,1
9481,organic,treatment,5,5.1,0,1
23994,organic,treatment,6,4.9,0,0
28723,ctx_category,control,6,15.3,0,1
21805,organic,control,5,6.0,0,0
37024,social,treatment,7,4.2,0,1
21643,organic,treatment,7,7.7,0,1
25859,organic,treatment,6,8.4,0,0
31407,social,treatment,2,10.6,1,0
32349,ctx_brand,control,3,24.6,0,0
4164,organic,control,7,7.2,0,1
10606,organic,treatment,3,25.1,0,0
8998,organic,control,2,24.4,0,0
14401,ctx_brand,control,6,12.3,0,0
2229,ctx_brand,treatment,7,2.1,0,0
21625,tv,treatment,2,14.0,0,1
22825,social,control,7,5.4,0,0
12872,organic,treatment,1,18.5,1,0
10166,organic,control,2,24.4,0,0
29898,tv,control,9,8.1,0,1
8528,social,control,4,13.7,1,1
28256,organic,treatment,5,17.1,0,0
6661,cpa,control,7,5.7,0,0
19193,organic,treatment,6,9.0,0,1
44,organic,control,5,4.5,0,1
4816,cpa,control,9,6.6,0,0
30192,social,control,5,16.0,1,0
10473,ctx_category,control,2,11.5,1,1
34361,organic,control,6,19.8,0,0
24639,organic,treatment,4,18.1,0,0
38279,ctx_brand,treatment,4,13.9,0,0
12587,organic,control,6,2.8,0,0
26496,ctx_brand,treatment,1,24.5,0,0
12820,organic,control,5,1.0,0,0
21671,organic,control,5,6.3,0,1
28106,cpa,control,2,21.3,0,0
23455,organic,treatment,5,6.1,0,1
10980,ctx_category,control,2,18.1,0,0
14500,social,treatment,5,6.1,0,0
18816,organic,control,6,10.8,0,0
19555,ctx_category,control,3,15.3,0,0
38582,organic,treatment,1,25.0,0,0
22382,organic,control,4,11.8,0,1
26971,influencer,treatment,3,21.4,0,0
15309,ctx_brand,treatment,7,4.7,0,1
29513,influencer,control,8,6.0,0,0
33633,ctx_category,control,2,14.2,0,0
27686,organic,control,7,8.2,0,1
31185,organic,treatment,6,3.4,0,1
16645,organic,control,7,2.6,0,0
30947,organic,control,6,8.4,0,0
11458,organic,control,6,4.9,0,0
38726,ctx_category,treatment,9,1.0,0,1
91,organic,treatment,4,15.6,0,0
405,organic,control,1,20.1,0,0
14464,cpa,treatment,7,5.7,0,0
26438,social,control,3,22.9,1,0
